cid,cname,,createdDate,desc,type,link,platform,UpvCount,free
,Python for Everybody Specialization,,,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language.",Python,https://www.coursera.org/specializations/python,Coursera,,0
,Programming for Everybody (Getting Started with Python),,,This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python. The course has no pre-requisites and avoids all but the simplest mathematics. ,Python,https://www.coursera.org/learn/python,Coursera,,0
,Python Data Structures,,,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples.",Python,https://www.coursera.org/learn/python-data,Coursera,,0
,Applied Data Science with Python Specialization,,,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.",Python,https://www.coursera.org/specializations/data-science-python,Coursera,,0
,Introduction to Data Science in Python,,,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. ",Python,https://www.coursera.org/learn/python-data-analysis,Coursera,,0
,Python 3 Programming Specialization,,,,Python,https://www.coursera.org/specializations/python-3-programming,Coursera,,0
,Using Python to Access Web Data,,,,Python,https://www.coursera.org/learn/python-network-data,Coursera,,0
,Python for Data Science,,,,Python,https://www.coursera.org/learn/python-for-applied-data-science,Coursera,,0
,Machine Learning with Python,,,"This course dives into the basics of machine learning using an approachable, and well-known programming language, Python. ",Machine Learning,https://www.coursera.org/learn/machine-learning-with-python,Coursera,,0
,Using Databases with Python,,,,Python,https://www.coursera.org/learn/python-databases,Coursera,,0
,Build Native Mobile Apps with Flutter,,,"This course will introduce students to the basics of the Structured Query Language (SQL) as well as basic database design for storing data as part of a multi-step data gathering, analysis, and processing effort. The course will use SQLite3 as its database. ",Flutter,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,Udacity,,0
,Flutter by Google,,,,Flutter,https://www.youtube.com/watch?v=fq4N0hgOWzU&list=PLOU2XLYxmsIJ7dsVN4iRuA7BT8XHzGtCr,Youtube,,1
,Flutter tutorial for beginners using dart,,,,Flutter,https://www.youtube.com/playlist?list=PLlxmoA0rQ-Lw6tAs2fGFuXGP13-dWdKsB,Youtube,,1
,Flutter tutorials,,,,Flutter,https://www.youtube.com/watch?v=b2fgMCeSNpY&list=PLJbE2Yu2zumDqr_-hqpAN0nIr6m14TAsd,Youtube,,1
