,cid,cname,uname,desc,type,link,platform,upvoteCount,price,prereq
77,77,C Programming: Using Linux Tools and Libraries,Developer,earn how to use professional tools and libraries to write and build C programs within the Linux operating system. Receive instant feedback on your code right within your browser.,Linux,https://www.edx.org/course/programming-in-c-using-linux-tools-and-libraries,edx,17,0,None
78,78,Learn to Program in Java,Developer,Get started on the path to becoming a software engineer by learning core coding skills in Java—one of the most popular programming languages.,Java ,https://www.edx.org/course/learn-to-program-in-java-3,edx,16,0,None
79,79,Object Oriented Programming in Java,Developer,"One of the most important skills in software development is designing how code is organized. In this Java course, learn how to apply industry-standard practices as you structure your software.",Java ,https://www.edx.org/course/object-oriented-programming-in-java-3,edx,12,0,None
80,80,Algorithms and Data Structures,Developer,Learn how to write faster and more efficient code against the backdrop of famous algorithms.,Java ,https://www.edx.org/course/algorithms-and-data-structures-3,edx,11,0,None
81,81,Microsoft Professional Program in Data Science,Developer,"Accelerate your career in one of the hottest fields – data science. Learn data science fundamentals, key data science tools, and widely-used programming languages from industry and academic experts in this unique program created by Microsoft.",Data science,https://www.edx.org/microsoft-professional-program-data-science,edx,14,0,None
82,82,Probability - The Science of Uncertainty and Data,Developer,"Build foundational knowledge of data science with this introduction to probabilistic models, including random processes and the basic elements of statistical inference — Course 1 of 4 in the MITx MicroMasters program in Statistics and Data Science.",Probability,https://www.edx.org/course/probability-the-science-of-uncertainty-and-data-0,edx,19,0,None
83,83,Data Analysis in Social Science—Assessing Your Knowledge,Developer,"Learn the methods for harnessing and analyzing data to answer questions of cultural, social, economic, and policy interest, and then assess that knowledge— Course 2 of 4 in the MITx MicroMasters program in Statistics and Data Science.",Data analysis,https://www.edx.org/course/data-analysis-in-social-scienceassessing-your-knowledge-2,edx,11,0,None
84,84,Fundamentals of Statistics,Developer,"
Develop a deep understanding of the principles that underpin statistical inference: estimation, hypothesis testing and prediction.  — Course 3 of 4 in the MITx MicroMasters program in Statistics and Data Science.",Statistics,https://www.edx.org/course/fundamentals-of-statistics-2,edx,15,0,None
85,85,Machine Learning with Python: from Linear Models to Deep Learning,Developer,"An in-depth introduction to the field of machine learning, from linear models to deep learning and reinforcement learning, through hands-on Python projects. — Course 4 of 4 in the MITx MicroMasters program in Statistics and Data Science.",Machine learning,https://www.edx.org/course/machine-learning-with-python-from-linear-models-to-deep-learning,edx,11,0,None
86,86,Capstone Exam in Statistics and Data Science,Developer,certificate,Statistics,https://www.edx.org/course/capstone-exam-in-statistics-and-data-science-0,edx,13,0,None
87,87,Analyzing and Visualizing Data with Excel,Developer,"Learn how to select, apply, and analyze the most appropriate data representations in your code and design high quality software that is easy to understand and modify.",Excel ,https://www.edx.org/course/analyzing-and-visualizing-data-with-excel-2,edx,10,0,None
88,88,Introduction to Data Analysis using Excel,Developer,"Learn the basics of Excel, one of the most popular data analysis tools, to help visualize and gain insights from your data.",Excel ,https://www.edx.org/course/introduction-to-data-analysis-using-excel-2,edx,9,0,None
89,89,Essential Math for Data Analysis using Excel Online,Developer,Learn essential mathematical skills for analyzing data,Excel ,https://www.edx.org/course/essential-math-for-data-analysis-using-excel-online-2,edx,8,0,None
90,90,Autonomous Mobile Robots,Developer,"Robots are rapidly evolving from factory workhorses, which are physically bound to their work-cells, to increasingly complex machines capable of performing challenging tasks in our daily environment. The objective of this course is to provide the basic concepts and algorithms required to develop mobile robots that act autonomously in complex environments. The main emphasis is put on mobile robot locomotion and kinematics, environment perception, probabilistic map based localization and mapping, and motion planning. The lectures and exercises of this course introduce several types of robots such as wheeled robots, legged robots and drones.",Robotics,https://www.edx.org/course/autonomous-mobile-robots-2,edx,11,0,None
91,91,Drones and Autonomous Systems,Developer,"If you want to be the specialist who can procure and use cutting-edge systems to help save lives and cut disaster losses, this Professional Certificate provides the foundational knowledge you need when working with autonomous vehicles as well as unmanned aircraft systems and real-time, line-of-sight aerial or underwater vehicles. ",umuc and umux,https://www.edx.org/professional-certificate/umuc-usmx-drones-and-autonomous-systems,edx,13,0,None
92,92," 
Future Robots. Towards a Robotic Science of Human Beings",Developer,"Following historic human achievements in steam power, electricity, and digital information, Robotics is now considered by many to be the fourth industrial revolution. This course explores robotics not simply as advanced technology, but as a new scientific discipline that can lead to a deeper understanding of human behavior. ",Robotics,https://www.edx.org/course/future-robots-towards-a-robotic-science-of-human-beings-2,edx,12,0,None
93,93,Introduction to Computer Numerical Control,Developer,"Learn how The Introduction to Computer Numerical Control (CNC) Machining enables computers to control manufacturing tools and how to select, program and operate a CNC machine",Computer Control,https://www.edx.org/course/introduction-to-computer-numerical-control,edx,10,0,None
94,94,Electric Cars: Introduction,Developer,"Get a basic understanding of electric cars and learn about leading technologies, development of profitable business models and effective policies.",Electric cars,https://www.edx.org/course/electric-cars-introduction-0,edx,11,0,None
95,95,Robotics: Vision Intelligence and Machine Learning,Developer,"certificateLearn how to design robot vision systems that avoid collisions, safely work with humans and understand their environment.		",Robotics,https://www.edx.org/course/robotics-vision-intelligence-machine-pennx-robo2x,edx,9,0,None
96,96,oftware Testing Fundamentals,Developer,"Want to gain software testing skills to start a career or are you a software developer looking to improve your unit testing skills? This course, part of the Software Testing and Verification MicroMasters program, will provide the essential skills you need for success.",Software testing,https://www.edx.org/course/software-testing-fundamentals,edx,8,0,None
97,97,Algorithm Design and Analysis,Developer,Learn about the core principles of computer science: algorithmic thinking and computational problem solving.,Computer Science,,edx,14,0,None
98,98,Artificial Intelligence (AI),Developer,"Learn the fundamentals of Artificial Intelligence (AI), and apply them. Design intelligent agents to solve real-world problems including, search, games, machine learning, logic, and constraint satisfaction problems.",Artificial intelligence,https://www.edx.org/micromasters/columbiax-artificial-intelligence,edx,14,0,None
99,99,Blockchain Technology,Developer,certificateLearn the fundamentals of blockchain technology and how it will power the economy of tomorrow.		,Blockchain,https://www.edx.org/course/blockchain-technology,edx,17,0,None
